condition,run_id,pet_seconds,overlap,real_interval_entry,real_interval_exit,virt_interval_entry,virt_interval_exit,radius_m
virtual_vehicle_scenario_with_intelligence,vv10,4.656018788836976,False,12.100930780438063,12.522714701470521,17.178733490307497,18.708171961528613,3.5
virtual_vehicle_scenario_with_intelligence,vv11,6.946705003911925,False,12.156949139395373,12.553732090160016,19.50043709407194,21.03877568244934,3.5
virtual_vehicle_scenario_with_intelligence,vv12,4.9887222662162305,False,12.120743874326598,12.5633940415858,17.55211630780203,18.9562740666989,3.5
virtual_vehicle_scenario_with_intelligence,vv13noss,4.527928944120713,False,12.111956267415911,12.589145586328957,17.11707453044967,18.529603896009448,3.5
virtual_vehicle_scenario_with_intelligence,vv14noss,3.295953724090081,False,12.358286026005683,12.75669999738484,16.052653721474922,17.79162001567573,3.5
virtual_vehicle_scenario_with_intelligence,vv16,3.0869630866355333,False,12.05259445204197,12.495833940994961,15.582797027630495,17.10012442671292,3.5
virtual_vehicle_scenario_with_intelligence,vv1good,5.101968332981919,False,11.180614168473985,11.564134902458182,16.6661032354401,18.077583036671513,3.5
virtual_vehicle_scenario_with_intelligence,vv4,5.356680674100833,False,12.034162111527477,12.40779019666607,17.764470870766903,19.293495423475182,3.5
virtual_vehicle_scenario_with_intelligence,vv7,4.054081289799825,False,11.847569819013625,12.332038024357864,16.38611931415769,17.848294717128258,3.5
virtual_vehicle_scenario_with_intelligence,vv8ss안들어감,4.159610923943136,False,12.108596183555804,12.556063446089075,16.71567437003221,18.268529275696718,3.5
virtual_vehicle_scenario_without_intelligence,vvn1,5.649844646654941,False,12.091873422249275,12.563630313958267,18.21347496061321,19.616258630202577,3.5
virtual_vehicle_scenario_without_intelligence,vvn10,5.497401653280745,False,12.263829754042757,12.720115162629918,18.217516815910663,19.691936551555504,3.5
virtual_vehicle_scenario_without_intelligence,vvn2,6.827291852399291,False,12.225653757309754,12.714622093121449,19.54191394552074,21.370504139774837,3.5
virtual_vehicle_scenario_without_intelligence,vvn3아슬하게 지나감,4.409738341348422,False,12.107636167180623,12.580937406219718,16.99067574756814,18.51294045155639,3.5
virtual_vehicle_scenario_without_intelligence,vvn4,6.182103205824298,False,12.011729605883867,12.467082807750085,18.649186013574383,20.126896925072852,3.5
virtual_vehicle_scenario_without_intelligence,vvn5no_interaction,6.051685875149573,False,11.84425482813108,12.305098855376347,18.35678473052592,19.83377644356231,3.5
virtual_vehicle_scenario_without_intelligence,vvn6_투싼오래멈춤,7.174849047253209,False,12.089882097828639,12.560899199885123,19.735748247138332,21.449283673163073,3.5
virtual_vehicle_scenario_without_intelligence,vvn7,6.420517154151868,False,12.120323824872594,12.572131820359816,18.992648974511685,20.415233098771225,3.5
virtual_vehicle_scenario_without_intelligence,vvn8,5.655169506890537,False,10.977816874605201,11.430096488744397,17.085265995634934,18.518062221462703,3.5
virtual_vehicle_scenario_without_intelligence,vvn9,6.044767913476251,False,12.062155686118958,12.506199612788249,18.5509675262645,19.591310501098633,3.5
