%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744960595702909620,508674,0,,1,2.0,10.0,80.0,1130.0,4,1,1,0,0,0,0,0,0,-1
1744960595723042879,508675,0,,1,2.0,10.0,80.0,1124.4,4,1,1,0,0,0,0,0,0,-1
1744960595746015761,508676,0,,1,2.0,11.0,80.0,1160.8,4,1,1,0,0,0,0,0,0,-1
1744960595763078238,508677,0,,1,2.0,11.0,80.0,1238.4,4,1,1,0,0,0,0,0,0,-1
1744960595783523395,508678,0,,1,2.0,11.0,80.0,1234.8,4,1,1,0,0,0,0,0,0,-1
1744960595802958297,508679,0,,1,2.0,11.0,80.0,1219.2,4,1,1,0,0,0,0,0,0,-1
1744960595822912498,508680,0,,1,2.0,11.0,80.0,1188.0,4,1,1,0,0,0,0,0,0,-1
1744960595844122690,508681,0,,1,2.0,11.0,80.0,1174.4,4,1,1,0,0,0,0,0,0,-1
1744960595863411051,508682,0,,1,2.0,11.0,80.0,1186.4,4,1,1,0,0,0,0,0,0,-1
1744960595882780375,508683,0,,1,2.0,11.0,80.0,1179.6,4,1,1,0,0,0,0,0,0,-1
1744960595908877468,508684,0,,1,2.0,11.0,80.0,1194.4,4,1,1,0,0,0,0,0,0,-1
1744960595922828893,508685,0,,1,2.0,11.0,80.0,1204.4,4,1,1,0,0,0,0,0,0,-1
1744960595942841701,508686,0,,1,2.0,11.0,80.0,1208.8,4,1,1,0,0,0,0,0,0,-1
1744960595962972672,508687,0,,1,2.0,12.0,80.0,1226.0,4,1,1,0,0,0,0,0,0,-1
1744960595982863589,508688,0,,1,2.0,12.0,80.0,1222.8,4,1,1,0,0,0,0,0,0,-1
1744960596002921881,508689,0,,1,3.0,12.0,80.0,1245.6,4,1,1,0,0,0,0,0,0,-1
1744960596023806952,508690,0,,1,3.0,12.0,80.0,1220.4,4,1,1,0,0,0,0,0,0,-1
1744960596043929864,508691,0,,1,4.0,12.0,80.0,1209.6,4,1,1,0,0,0,0,0,0,-1
1744960596063044477,508692,0,,1,4.0,12.0,80.0,1224.0,4,1,1,0,0,0,0,0,0,-1
1744960596082828551,508693,0,,1,4.0,12.0,80.0,1218.8,4,1,1,0,0,0,0,0,0,-1
