%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744954399242851883,198851,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399262834692,198852,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399283151092,198853,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399303073449,198854,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399322808560,198855,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399342859041,198856,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399363657837,198857,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399383020134,198858,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399402852270,198859,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399423196113,198860,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399443063358,198861,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399462892610,198862,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399482919290,198863,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399502853356,198864,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399522861815,198865,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399542847916,198866,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399562775422,198867,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399582949034,198868,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399602958768,198869,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399623164538,198870,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399642827180,198871,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399662831331,198872,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399682850562,198873,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399702922957,198874,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399722747355,198875,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399743155658,198876,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399762827072,198877,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399782845288,198878,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399802859092,198879,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399823011178,198880,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399842831544,198881,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399863152446,198882,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399882905968,198883,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399902865713,198884,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399923003067,198885,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399942916267,198886,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399963491671,198887,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954399982810362,198888,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400002865476,198889,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400022943667,198890,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400043424472,198891,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400062869359,198892,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400082875652,198893,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400103029340,198894,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400122896700,198895,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400142891660,198896,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400162769075,198897,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400183035638,198898,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400202842661,198899,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400222891162,198900,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400242813953,198901,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400262793252,198902,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400282954970,198903,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400302932863,198904,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400322909279,198905,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400342938851,198906,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400364166933,198907,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400382856187,198908,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400402859944,198909,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400422908812,198910,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400442877465,198911,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400462771069,198912,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400483002446,198913,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400502798640,198914,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400522889253,198915,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400542889614,198916,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400562962305,198917,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400583153133,198918,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400602944166,198919,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400622988000,198920,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400643126764,198921,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400662822333,198922,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400682905388,198923,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400703185211,198924,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400723086611,198925,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400742880919,198926,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400762934046,198927,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400782863168,198928,0,,1,0.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400803376363,198929,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400822893516,198930,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400842818117,198931,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400862847895,198932,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400882912175,198933,0,,1,0.0,3.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400902960962,198934,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400922829190,198935,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400943462345,198936,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400962888554,198937,0,,1,0.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954400982982993,198938,0,,1,1.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401003011396,198939,0,,1,1.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401023315705,198940,0,,1,2.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401043490468,198941,0,,1,3.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401062872908,198942,0,,1,3.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401082998709,198943,0,,1,3.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401103218369,198944,0,,1,3.0,4.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401123074862,198945,0,,1,3.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401142841440,198946,0,,1,3.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401162841991,198947,0,,1,3.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401184849353,198948,0,,1,3.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401202838192,198949,0,,1,3.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744954401222860009,198950,0,,1,2.0,5.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
