%time,field.header.seq,field.header.stamp,field.header.frame_id,field.unique_id,field.steer_angle,field.kph,field.wheel_speed,field.engine_rpm,field.gear_location,field.drivingMode,field.brake_pedal,field.accel_pedal,field.left_signal,field.right_signal,field.is_aeb,field.is_estop,field.is_emergency,field.cmd_vel
1744955030322818463,230405,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030342831975,230406,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030362897561,230407,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030382837080,230408,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030402862243,230409,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030422822128,230410,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030442842531,230411,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030462825089,230412,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030483218677,230413,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030502777303,230414,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030522891890,230415,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030542824117,230416,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030563077926,230417,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030582875993,230418,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030603421429,230419,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030622889676,230420,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030642873232,230421,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030662843892,230422,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030683032530,230423,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030702904763,230424,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030722892390,230425,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030743504168,230426,0,,1,0.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030762981013,230427,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030783013766,230428,0,,1,-1.0,0.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030802914292,230429,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030822839845,230430,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030843080302,230431,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030863435275,230432,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030884091625,230433,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030905415410,230434,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030923129256,230435,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030942891585,230436,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030962878516,230437,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955030983023430,230438,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031003935305,230439,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031023085916,230440,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031042818971,230441,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031062873634,230442,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031082835757,230443,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031102981743,230444,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031122865878,230445,0,,1,-1.0,2.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031142883373,230446,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031162885986,230447,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031182925665,230448,0,,1,0.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031202941165,230449,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
1744955031222788437,230450,0,,1,-1.0,1.0,80.0,0.0,4,1,1,0,0,0,0,0,0,-1
